temp,store_name,phone,ppl,open_hours,open_days,latitude,longitude,addr,extra_info,siteurl
54,인정만나샘,02-757-7595,노숙인,"12:00-13:00, 18:00-19:00",월-일,37.55152257,126.974148,서울특별시 용산구 후암로 57길45,월-금 중식/월-일 석식, 
55,참좋은친구들,02-754-0031,노숙인,"06:00,11:00,18:30","화,수,목,금,일",37.557641,126.9688033,서울특별시 중구 청파로427,"화,일 중식,석식/수,목,금 조식,중식,석식", 
56,소중한사람들,02-365-9106,노숙인,11:30-12:30,월-일,37.55763384,126.9668708,서울특별시 중구 중림로 8길 12, , 
57,창동종합사회복지관,02-993-3222,만 60세 이상 결식우려 어르신,12:00-13:00,월-토,37.6448368,127.0454579,서울특별시 도봉구 덕릉로 329, , 
58,도봉서원종합사회복지관,02-3494-4755,만 60세 이상 결식우려 어르신,12:00-13:00,월-토,37.6696229,127.0465415,서울특별시 도봉구 마들로 668, , 
59,창동노인복지센터,02-906-2968,만 60세 이상 결식우려 어르신,12:00-13:00,월-토,37.6366719,127.0413702,서울특별시 도봉구 덕릉로60차길 6, , 
60,방학동노인복지센터,02-3491-4651,만 60세 이상 결식우려 어르신,12:00-13:00,월-토,37.6705376,127.0321759,서울특별시 도봉구 시루봉로15라길 59-9, , 
61,성동장애인무료급식소,02-2291-8306,저소득 장애인,11:00-13:00,월-금,37.57073007,127.0341592,서울특별시 성동구 청계천로 516, , 
62,성동종합사회복지관,02-2290-3169,60세이상 저소득 노인,11:00-13:00,월-금,37.57022175,127.0334425,서울특별시 성동구 청계천로 506, , 
63,성수종합사회복지관,02-2204-9900,60세이상 저소득 노인,11:00-12:00,월-토,37.54542883,127.0469481,서울특별시 성동구 뚝섬로1길 43, , 
64,옥수종합사회복지관,02-2282-1100,60세이상 저소득 노인,11:00-13:00,월-금,37.540433,127.012782,서울특별시 성동구 한림말길 16-5, , 
65,다시서기종합지원센터,02-777-5217,노숙인,18:30-19:30,월-일,37.54569095,126.9725568,서울특별시 용산구 한강대로 92길 6, , 
66,도봉동노인복지센터,02-3491-3356,만 60세 이상 결식우려 어르신,12:00-13:00,월-토,37.6820824,127.0435512,서울특별시 도봉구 도봉로169가길 52, , 
67,쌍문동노인복지센터,02-900-4641,만 60세 이상 결식우려 어르신,12:00-13:00,월-토,37.6482087,127.0238013,서울특별시 도봉구 우이천로 363, , 
68,도봉노인종합복지관,02-993-9900,만 60세 이상 결식우려 어르신,12:00-13:00,월-토,37.6588797,127.0359721,서울특별시 도봉구 도당로2길 12-13, , 
69,신생명나무교회,02-742-2970,"수급자,차상위,기타저소득(경로식당",11:30-13:00,월-금,37.5539134,126.9451634,서울특별시 마포구 고산18길 10, , 
70,요셉의원,,노숙인,14:30-17:00,목,37.515306,126.9050411,서울특별시 영등포구 경인로100길 6,코로나19로중단, 
71,영광교회,,노숙인,06:30-07:30,"수,목,금,일",37.5122132,126.909252,서울특별시 영등포구 영신로 7,코로나19로중단, 
72,한국기독교복지협회,,노숙인,20:00-21:00,월-토,37.51379932,126.910905,서울특별시 영등포구 신길로 245,코로나19로중단, 
73,광야교회,02-2636-3373,노숙인,"12:00-13:00, 18:00-19:00, 19:30-20:20",월-일,37.515416,126.9052536,서울특별시 영등포구 경인로100길 3,코로나19로간편식제공, 
74,토마스의집,02-2672-1004,노숙인,11:40-14:30,월-금,37.515611,126.9050503,서울특별시 영등포구 경인로 828-1,코로나19로간편식제공, 
75,자양종합사회복지관,02-458-1664,국민기초생활수급자,11:30-13:00,월-토,37.532877,127.0752337,서울특별시 광진구 자양번영로 35(자양동), , 
76,광진노인종합복지관,02-466-6242,국민기초생활수급자,11:30-13:00,월-금,37.551093,127.0715961,서울특별시 광진구 군자로 88(군자동), , 
77,용마경로복지센터,02-435-0842,만 60세 이상 결식 우려 저소득 어르신,11:30-13:00,월-금,37.58739985,127.1018199,서울특별시 중랑구 용마산로94길 98, , 
78,신정종합사회복지관 경로식당,02-2603-1792,저소득 결식우려 어르신,11:30-13:00,월-토,37.5255832,126.8570879,서울특별시 양천구 신정중앙로 36 (신정동), , 
79,목동종합사회복지관 경로식당,02-2651-2332,저소득 결식우려 어르신,11:30-13:00,월-토,37.544242,126.866384,서울특별시 양천구 목동중앙북로8길 104 (목동), , 
80,신월종합사회복지관 경로식당,02-2605-8728,저소득 결식우려 어르신,11:30-13:00,월-토,37.52003276,126.8473669,서울특별시 양천구 신월로24길 19 (신월동), , 
81,목동실버복지문화센터 경로식당,02-2643-3352,저소득 결식우려 어르신,11:30-13:00,월-토,37.536465,126.869268,서울특별시 양천구 목동중앙로3길 21(목동), , 
82,해맞이경로식당,02-2699-9275,저소득 결식우려 어르신,11:30-13:00,월-토,37.519077,126.835622,서울특별시 양천구 지양로 37(신월동), , 
83,성동노인종합복지관,02-6341-8646,60세이상 저소득 노인,11:30-13:00,월-토,37.564756,127.041241,서울특별시 성동구 마조로 77, , 
84,면목종합사회복지관,02-436-0500,만 60세 이상 결식 우려 저소득 어르신,11:30-12:30,월-토,37.57416749,127.0883012,서울특별시 중랑구 용마산로 228, , 
85,북가좌2동노인복지센터,,저소득어르신,10:30-12:00,월-토,37.58120413,126.9179051,서울특별시 서대문구 증가로20길 43 (북가좌동), , 
86,효림재가노인지원센터,,저소득어르신,10:30-12:00,"화,금",37.56432894,126.9608681,서울특별시 서대문구 경기대로9길 62 (충정로3가),밑반찬배달, 
87,인왕어르신복지센터,,저소득어르신,10:30-12:00,월-토,37.58279515,126.9506699,서울특별시 서대문구 통일로26길 12-5 (홍제동),"월-토 경로식당/ 화,목 밑반찬배달", 
88,동서울 중앙교회,02-494-7110,만 60세 이상 결식 우려 저소득 어르신,11:30-12:30,월-토,37.57563305,127.0837108,서울특별시 중랑구 면목로 29길 37, , 
89,사랑의 집,02-495-2517,만 60세 이상 결식 우려 저소득 어르신,12:00-13:00,월-금,37.60403622,127.1026276,서울특별시 중랑구 송림길 91, , 
90,중화동교회,02-435-0046,만 60세 이상 결식 우려 저소득 어르신,11:30-12:30,"월,화,목,금,토",37.60363199,127.0783751,서울특별시 중랑구 동일로 139길 10, , 
91,나눔의 집,02-434-9345,만 60세 이상 결식 우려 저소득 어르신,12:00-13:00,월-금,37.59147426,127.1033393,서울특별시 중랑구 용마공원로 5가길 69-6, , 
92,구립중화경로복지관,02-436-1390,만 60세 이상 결식 우려 저소득 어르신,11:00-12:00,월-금,37.60330431,127.0811539,서울특별시 중랑구 동일로 138길 28, , 
93,구립신내노인종합복지관,02-3421-4800,만 60세 이상 결식 우려 저소득 어르신,11:30-13:00,월-토,37.61481251,127.0878892,서울특별시 중랑구 신내로 15길 175, , 
94,유린원광종합사회복지관,02-438-4011,만 60세 이상 결식 우려 저소득 어르신,11:30-12:30,월-금,37.60447047,127.0959157,서울특별시 중랑구 신내로 56, , 
95,신내종합사회복지관,02-3421-3400,만 60세 이상 결식 우려 저소득 어르신,12:00-13:00,월-금,37.60581862,127.0916098,서울특별시 중랑구 봉화산로 153, , 
96,시립대종합사회복지관,02-3421-1988,만 60세 이상 결식 우려 저소득 어르신,11:30-12:30,월-금,37.60929753,127.0949042,서울특별시 중랑구 신내로 115, , 
97,시립중랑노인종합복지관,02-493-9966,만 60세 이상 결식 우려 저소득 어르신,11:30-12:30,월-토,37.58843496,127.0778419,서울특별시 중랑구 겸재로 9길 45, , 
98,마포어르신돌봄통합센터,02-325-3850,"수급자,차상위,기타저소득(식사배달,밑반찬배달",확인요망,월-금,37.54508467,126.9270188,서울특별시 마포구 토정로 148-14, , 
99,용강노인복지관,02-707-1006,"수급자,차상위,기타저소득(경로식당",11:30-13:00,월-금,37.54232552,126.9428348,서울특별시 마포구 토정로31길 31, , 
100,아현노인복지센터,02-362-3674,"수급자,차상위,기타저소득(경로식당,식사배달",11:30-12:30,월-금,37.55498128,126.9587653,서울특별시 마포구 마포대로26길 19, , 
101,이대성산종합사회복지관,02-374-9556,"수급자,차상위,기타저소득(경로식당,식사배달,밑반찬배달",10:50-11:50,월-금,37.5655,126.9003702,서울특별시 마포구 월드컵로215, , 
102,시립마포노인종합복지관,02-6360-0534,"수급자,차상위,기타저소득(경로식당,식사배달",11:15-13:00,월-금,37.5489226,126.9322146,서울특별시 마포구 서강로 68, , 
103,우리마포복지관,02-358-1000,"수급자,차상위,기타저소득(경로식당",11:30-13:00,월-금,37.555841,126.942391,서울특별시 마포구 신촌로26길 10, , 
104,아현실버복지관,02-312-2161,"수급자,차상위,기타저소득(경로식당",11:20-12:30,월-금,37.55746063,126.9603136,서울특별시 마포구 환일길3, , 
105,마포노인복지센터,02-365-7775,"수급자,차상위,기타저소득(밑반찬배달",확인요망,월-금,37.5497723,126.959431,서울특별시 마포구 만리재옛12길 6-2, , 
106,보사노인복지센터,02-3273-6692,"수급자,차상위,기타저소득(밑반찬배달",확인요망,월-금,37.55480219,126.917009,서울특별시 마포구 동교로 132-3, , 
107,홍은종합사회복지관,,저소득어르신,10:30-12:00,월-일,37.5953267,126.9464065,서울특별시 서대문구 세검정로1길 116 (홍은동),"월-토 경로식당/ 월-일 식사배달/ 화,목 밑반찬배달", 
108,이대종합사회복지관,,저소득어르신,10:30-12:00,월-일,37.559447,126.9604714,서울특별시 서대문구 북아현로4마길 26-24 (북아현동),"월-일 식사배달/ 월,목 밑반찬배달", 
109,연희노인여가복지시설,,저소득어르신,10:30-12:00,월-일,37.57224104,126.9235123,서울특별시 서대문구 홍제천로2길 111 (연희동),"월-토 경로식당/ 월-일 식사배달/ 화,목 밑반찬배달", 
110,서대문노인종합복지관,,저소득어르신,10:30-12:00,월-일,37.56800449,126.959129,서울특별시 서대문구 독립문로8길 57 (천연동),"월-토 경로식당/ 월-일 식사배달/ 월,목 밑반찬배달", 
111,서대문종합사회복지관,,저소득어르신,10:30-12:00,월-일,37.5714004,126.9200551,서울특별시 서대문구 모래내로 177 (남가좌동),"월-토 경로식당/ 월-일 식사배달/ 화,목 밑반찬배달", 
112,자비의 집,02-945-4200,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",11:30-12:30,월-토,37.6203381,127.023387,서울특별시 강북구 도봉로29길 90, , 
113,강북장애인종합복지관,02-989-4218,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",11:40-13:00,월-토,37.628764,127.039059,서울특별시 강북구 오현로 189, , 
114,시립강북노인종합복지관,02-999-9179,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",11:00-12:30,월-토,37.635688,127.018757,서울특별시 강북구 삼양로 92길 40, , 
115,삼양동종합복지센터,02-945-1305,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",11:30-12:30,월-토,37.622945,127.0185329,서울특별시 강북구 삼양로 47길 9, , 
116,운가자비원,02-903-6940,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",11:30-12:10,월-토,37.642583,127.016831,서울특별시 강북구 삼양로 112길 5, , 
117,번동5단지종합사회복지관,02-981-5077,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",11:30-12:00,월-토,37.63368721,127.0345359,서울특별시 강북구 한천로115길 20, , 
118,구세군강북종합사회복지관,02-984-5811,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",11:00-12:00,월-토,37.625687,127.013394,서울특별시 강북구 인수봉로 20가길 24, , 
119,번동2단지종합사회복지관,02-987-5078,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",11:30-12:00,월-토,37.62760841,127.0448051,서울특별시 강북구 한천로 105길 24, , 
120,강남노인종합복지관,02-549-7070,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-13:00,월-금,37.51590994,127.0521409,서울특별시 강남구 삼성로 628, , 
121,개포경로당,02-565-3857,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-12:30,월-금,37.48370379,127.0608923,서울특별시 강남구 선릉로12길 12, , 
122,대치1단지(일원2 경로당),02-565-3857,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-12:30,월-금,37.4923312,127.0745908,서울특별시 강남구 개포로 109길 5, , 
123,양천어르신종합복지관 경로식당,02-2649-8815,저소득 결식우려 어르신,11:30-13:00,월-토,37.510405,126.858621,서울특별시 양천구 목동로3길 106 (신정동), , 
124,서서울어르신복지관 경로식당,02-2608-4042,저소득 결식우려 어르신,11:30-13:00,월-토,37.534261,126.826635,서울특별시 양천구 가로공원 60가길 16, , 
125,신목종합사회복지관 경로식당,02-2643-7222,저소득 결식우려 어르신,11:30-13:00,월-토,37.51722556,126.8764675,서울특별시 양천구 신목로 5 (신정동), , 
126,신목종합사회복지관(별관  경로식당),02-2223-8825,저소득 결식우려 어르신,11:30-13:00,월-토,37.518426,126.876286,서울특별시 양천구 목동남로 4길 6-46 목동2차 우성A 관리사무소 지하 1층, , 
127,한빛종합사회복지관 경로식당,02-2690-8762,저소득 결식우려 어르신,11:30-13:00,월-토,37.519038,126.840216,서울특별시 양천구 신월로11길 16 (신월동), , 
128,종로노인종합복지관 무악센터,02-6247-9900,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,12:00-13:00,월-토,37.57581601,126.9580239,서울특별시 종로구 통일로14길 30(무악동), , 
129,하상바오로의 집,02-402-1700,노숙자 및 극빈층,중식,"월,화,수,금,토",37.49453769,127.1087136,서울특별시 송파구 양재대로 932, , 
130,사랑나눔에덴복지,02-423-4653,"독거노인, 노숙자,장애인 등",중식,"화,수,금,일",37.5037307,127.092248,서울특별시 송파구 백제고분로 27길 5-8, , 
131,서울노인복지센터,02-6220-8500,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,12:00-13:00,월-토,37.57596678,126.985832,서울특별시 종로구 삼일대로 467(경운동), , 
132,사회복지법인 명휘원,02-739-9300,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,12:00-13:00,월-토,37.57103284,126.985027,서울특별시 종로구 종로11길 9-20(인사동), , 
133,종로종합사회복지관,02-766-8282,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,12:00-13:00,월-토,37.57719623,127.0121786,서울특별시 종로구 지봉로13길 82(창신동), , 
134,종로노인종합복지관,02-742-9500,60세이상 가정형편이 어렵거나 부득이한 사정으로 식사를 거를 우려가 있는 어르신,12:00-13:00,월-토,37.57666665,127.006003,서울특별시 종로구 율곡로19길 17-8(이화동), , 
135,번동3단지종합사회복지관,02-984-6777,"기초생활수급자, 차상위 계층 및 저소득 독거어르신",11:30-12:30,월-토,37.6296739,127.0411557,서울특별시 강북구 오현로208, , 
136,대청경로당,02-565-3857,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-12:30,월-금,37.49319777,127.0830002,서울특별시 강남구 개포로124길 24, , 
137,세곡리엔파크4단지 경로당,02-565-3857,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-12:30,월-금,37.46287702,127.1014455,서울특별시 강남구 헌릉로590길 88, , 
138,대청종합사회복지관,02-459-6332,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:00-12:00,월-금,37.49315584,127.0909926,서울특별시 강남구 양재대로 55길 10, , 
139,수서종합사회복지관,02-451-7244,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-12:30,월-금,37.48797908,127.1056314,서울특별시 강남구 광평로 56길 11, , 
140,수서명화종합사회복지관,02-459-2696,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-12:30,월-금,37.49213604,127.0997527,서울특별시 강남구 광평로 51길 49, , 
141,강남시니어플라자,02-558-9888,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-13:00,월-금,37.50978671,127.0432194,서울특별시 강남구 봉은사로 332, , 
142,역삼노인복지센터,02-501-5674,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-12:30,월-금,37.49453859,127.0418311,서울특별시 강남구 도곡로 27길 27, , 
143,논현노인종합복지관,02-541-0227,만60세이상 결식우려가 있는 강남구 거주 저소득 어르신,11:30-12:50,월-금,37.51206587,127.0260872,서울특별시 강남구 강남대로128길 59, , 
144,서울기능장애인협회 노원지부,02-974-1148,장애인,11:30-,월-금,37.643746,127.076731,서울특별시 노원구 한글비석로 182, , 
145,참아름교회,02-974-4443,저소득 노인,12:00-,월-일,37.637529,127.069874,서울특별시 노원구 노원구 공릉로 351, , 
146,아름다운 세상 모두함께,02-556-1333,"결식 노인,노숙자","화목17:30-, 토12:00-","화,목,토",37.670955,127.079221,서울특별시 노원구 상계로37길 11, , 
147,금천노인종합복지관,02-804-4058,저소득 어르신,11:20-12:40,월-토,37.4501638,126.8977638,서울특별시 금천구 시흥대로51길 93-32(시흥동), , 
148,금천누리종합사회복지관,02-868-6856,저소득 어르신,11:20-12:30,월-토,37.476852,126.891799,서울특별시 금천구 가산로 129(가산동), , 
149,금천한내어르신복지센터,02-897-5104,저소득 어르신,11:30-13:00,월-토,37.4573875,126.8865394,서울특별시 금천구 한내로 69-15(독산동), , 
150,금천호암노인종합복지관,02-853-7203,저소득 어르신,11:30-13:00,월-토,37.46951291,126.9064763,서울특별시 금천구 독산로72길 86-5(독산동), , 
151,살구여성회,02-895-5973,저소득 어르신,11:00-12:30,월-토,37.4751323,126.9002445,서울특별시 금천구 시흥대로148길 27(독산동), , 
152,제일성결교회,02-896-2031,저소득 어르신,12:00-13:00,월-토,37.4504161,126.9131787,서울특별시 금천구 탑골로2길 56(시흥동), , 
153,청담종합사회복지관,02-806-1377,저소득 어르신,11:00-13:00,월-토,37.45113975,126.9129242,서울특별시 금천구 금하로29길 26(시흥동), , 
154,동작노인종합복지관,02-823-0064,만60세 이상 결식우려가 있는 저소득 어르신,11:30-13:00,월-토,37.50039208,126.9291105,서울특별시 동작구 상도로11길 7, , 
155,상도종합사회복지관,02-824-6011,만60세 이상 결식우려가 있는 저소득 어르신,11:00-12:00,월-토,37.50249656,126.9496599,서울특별시 동작구 상도로39가길 7, , 
156,본동종합사회복지관,02-817-8052,만60세 이상 결식우려가 있는 저소득 어르신,11:00-12:00,월-토,37.51053278,126.9568887,서울특별시 동작구 노량진로32길 79, , 
157,동작이수사회복지관,02-592-3721,만60세 이상 결식우려가 있는 저소득 어르신,11:00-12:00,월-토,37.49312014,126.9768776,서울특별시 동작구 동작대로35차길 7, , 
158,사당종합사회복지관,02-597-3710,만60세 이상 결식우려가 있는 저소득 어르신,11:20-12:30,월-토,37.48327274,126.9714535,서울특별시 동작구 사당로14길 20, , 
159,동작종합사회복지관,02-814-8114,만60세 이상 결식우려가 있는 저소득 어르신,11:00-12:00,월-토,37.50571412,126.9334168,서울특별시 동작구 등용로47, , 
160,대방종합사회복지관,02-826-2900,만60세 이상 결식우려가 있는 저소득 어르신,11:30-12:30,월-토,37.5099255,126.9304271,서울특별시 동작구 여의대방로44길 47, , 
